标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
华泾优选，紫阳花苑两房居家装修，房东住外地可以长签，东西全配,3200,2室1厅1卫,整租,中等装修,徐汇区,华泾,66平米,南,普通住宅,紫阳花苑,龙吟路                                                    ,2002年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085891163
故园今.日海棠开，梦入陆家嘴锦绣前程。,8500,3室2厅2卫,整租,精装修,浦东新区,北蔡,128平米,南北,普通住宅,陆家嘴锦绣前城,锦绣路2466弄                                                    ,2016年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085814609
相遇不要太早 只要刚好 小郑实拍 标准2房1厅 价格亲民好房,4500,2室2厅1卫,整租,精装修,浦东新区,金杨,82平米,南,普通住宅,上泰花苑,张杨路2855弄                                                    ,1998年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085641959
9号地铁直达，精装修全配1房，中心流程，看房随时,2900,1室2厅1卫,整租,精装修,松江区,松江大学城,63平米,南,普通住宅,御上海,谷阳北路2399弄                                                    ,2009年,2.5,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084792557
地铁口、主营小区、精装2房、南北通透、采光好、拎包入住！,8500,2室2厅2卫,整租,精装修,长宁区,天山,103平米,南北,公寓,南洋新都,天山路177弄1-44号                                                    ,2001年,2.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084638009
自住3居装修，配套成熟，紧邻地铁，生活便利，品质小区，随时看,10500,3室2厅2卫,整租,豪华装修,黄浦区,蓬莱公园,143平米,南北,普通住宅,黄浦新苑(东区),西藏南路1108弄1-3号                                                    ,1980年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084599591
地铁口300米，精装3房，有钥匙，随时看房!,5500,3室2厅1卫,整租,精装修,青浦区,徐泾,90平米,南,普通住宅,中建锦绣天地(东区),会恒路200弄                                                    ,2016年,2,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083935463
绿地威廉公馆，地铁房，诚意出租，随时可看，精装小三房拎包入住,5700,3室2厅1卫,整租,精装修,嘉定区,南翔,105平米,南北,普通住宅,绿地清猗园(三期),德华路79弄                                                    ,2015年,2.44,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084242890
大虹桥核心区  紧临地铁及会展中心,7200,3室2厅2卫,整租,精装修,青浦区,徐泾,131平米,南北,普通住宅,海天花园,沪青平公路1481号                                                    ,1995年,0.34,60%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085060858
九亭，中大九里德，九亭中学旁，拎包入住家电齐全交通便利,4500,3室2厅2卫,整租,精装修,松江区,九亭,125平米,南北,公寓,中大九里德(别墅),九杜路1000弄                                                    ,2013年,0.9,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084799527
上海大花园 紧邻大连路周家嘴路 双地铁 小区环境好,7800,2室2厅2卫,整租,豪华装修,杨浦区,江浦路,110平米,南,公寓,上海大花园,周家嘴路1299弄                                                    ,2000年,2.75,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086001914
望族新苑，受欢迎好房，2室2厅，房源,7200,2室2厅1卫,整租,精装修,闵行区,古美,105平米,南,普通住宅,望族新苑,古美路675弄                                                    ,2003年,3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085488560
地铁口精装三房 只要4500/月  把握机会 好房子不是每天,4500,3室2厅1卫,整租,精装修,松江区,松江大学城,106平米,南北,普通住宅,三湘四季花城,广富林路1599弄                                                    ,2006年,2.7,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084712322
外滩九里全新2室2厅 业主精心配置豪华家私 空调带地暖,14000,2室2厅2卫,整租,豪华装修,黄浦区,黄浦滨江,166平米,南北,普通住宅,华润外滩九里,中山南路460号                                                    ,2011年,3.1,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084577388
高品质小区+12号线地铁300米+送车位+小区环境优美+精装,9000,3室2厅1卫,整租,精装修,闵行区,古美,91平米,南北,普通住宅,万源城尚郡(万源城四期),万源路580弄                                                    ,2012年,暂无,44%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084350624
丨抢租房丨古北国际社区，高尚居住环境，瑞仕花园，房型好装修好,17000,3室2厅2卫,整租,豪华装修,长宁区,古北,155平米,南北,公寓,古北瑞仕花园,黄金城道500弄                                                    ,2006年,3,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084842947
鼎信公寓房东自住精装4房诚心出租，随时看房，手慢无,4200,4室2厅2卫,整租,精装修,松江区,松江新城,150平米,南,普通住宅,鼎信公寓,谷阳北路1251弄                                                    ,2002年,1.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084802531
丽兹诚荐：新出纯地上三层别墅！仅需4.5万！可公办！胜过御翠,45000,5室4厅5卫,整租,豪华装修,浦东新区,张江,354平米,东,普通住宅,汤臣高尔夫(别墅),龙东大道1号                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084755521
无附加费 独立卫生间设施完善 押一付一 免费WIFI拎包入住,1500,2室1厅1卫,合租,精装修,闵行区,梅陇,17平米,南,普通住宅,梅陇一村,梅陇一村46弄                                                    ,2003年,1.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084643873
地铁11号线 秀沿站 精装三房  步行5到地铁口 上班方便,5000,3室1厅1卫,整租,精装修,浦东新区,康桥,113平米,南北,普通住宅,秀怡苑,环桥路1137弄                                                    ,2007年,1.97,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086001744
自住精装房，  室内结构通透采光棒，  紧贴中芯花园++,10000,3室2厅2卫,整租,精装修,浦东新区,张江,144平米,南北,普通住宅,日月光水岸花园,青桐路409弄                                                    ,2015年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084830358
罗山六村+精装修+靠地铁云山路站+随时入住,2600,2室1厅1卫,整租,精装修,浦东新区,金杨,62平米,南,普通住宅,罗山六村,德平路100弄                                                    ,1996年,1.61,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084560190
有钥匙，地铁6号线公交85路直达陆家嘴，随时看房,4500,2室1厅1卫,整租,精装修,浦东新区,金桥,55平米,南,普通住宅,沪南船舶小区,长岛路85弄                                                    ,1980年,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084315065
百年难得一见黄浦江一线江景 地铁2粉钟 豪华装修首.次出租,2300,1室1厅1卫,整租,精装修,黄浦区,世博滨江,40平米,南,公寓,耀江花园,西藏南路1739号                                                    ,2006年,2.3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084082673
联洋年华 高档小区 两房诚心出租 小区环境优雅 居民素质高,10000,2室1厅1卫,整租,精装修,浦东新区,联洋,117平米,南,普通住宅,联洋年华,丁香路910弄                                                    ,2004年,2.86,51%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085896358
房东刚出租 精装 价位很诚意 看房方便 小区中心位置,35000,4室3厅4卫,整租,精装修,青浦区,徐泾,402平米,南,别墅,湖畔佳苑(别墅),沪青平公路1517弄                                                    ,2005年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085864222
新小区出租房源适合家庭入住看真实房型,5000,2室1厅1卫,整租,精装修,浦东新区,三林,76平米,南北,公寓,三林新村,永泰路133弄                                                    ,1990年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085613206
西班牙名苑！豪华装修大一房！紧靠地铁！拎包入住！适合居家白领,3900,1室2厅1卫,整租,精装修,闵行区,梅陇,73平米,南,普通住宅,上海欣苑西班牙名园,罗秀路1980弄                                                    ,2003年,2.2,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086079009
长泰广场旁 业主自住二房 高区 精装修 家电家具齐全 地铁房,8000,2室2厅1卫,整租,精装修,浦东新区,张江,87平米,南,公寓,张江汤臣豪园三期,晨晖路828弄                                                    ,2011年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085353597
采光好，6号线口出行方便，近世纪大道，全装全配，可押一付一,4500,2室1厅1卫,整租,精装修,浦东新区,洋泾,66平米,南,普通住宅,羽北小区,巨野路482弄                                                    ,1993年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085710866
品质住宅 高层直眺黄浦江 西藏南路4/8号线 信用租房免押金,5800,2室1厅1卫,整租,精装修,黄浦区,蓬莱公园,70平米,南,公寓,弘辉名苑,西藏南路1501弄1-8号                                                    ,2005年,4.35,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084790736
花木优选：安静不临路3房，全装全配，地暖新风，钥匙房随时可看,27000,3室2厅2卫,整租,精装修,浦东新区,世纪公园,146平米,南,公寓,花木绿城锦绣兰庭,浦建路1399弄                                                    ,2015年,2.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084736862
新出房源 近长风公园 3.4.13号线 优质地段 拎包入住,4000,2室1厅1卫,整租,精装修,普陀区,长风,46平米,南,普通住宅,长风一村,长风一村                                                    ,1980年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084405626
两房的价格租三房，精装修，景观楼层，看房随时,4800,3室2厅1卫,整租,精装修,闵行区,春申,105平米,南北,普通住宅,君莲宏润丽苑,春都路358弄                                                    ,2012年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084059312
近地铁房交通出行便利，配套设施完善!,6000,3室1厅1卫,整租,精装修,普陀区,真光,97平米,南,普通住宅,上海家园,金鼎路298弄                                                    ,2004年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083893670
五角场地铁口 复旦财经大学旁 近万达沃尔玛 创智天地,3300,1室1厅1卫,整租,精装修,杨浦区,江湾体育场,36平米,南,普通住宅,建新小区,邯郸路470弄                                                    ,1980年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085219963
日晖新城近地铁4/12线电梯精装一房两厅可押一付一,9300,2室1厅2卫,整租,精装修,徐汇区,斜土路,88平米,南,普通住宅,日晖新城,零陵北路9弄                                                    ,2004年,3.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084330253
整租  麻雀虽小五脏俱全户型，齐全家私35平米精装井柏然代,2400,1室1厅1卫,整租,精装修,浦东新区,张江,33平米,南,公寓,香楠小区(西区),香楠路276弄                                                    ,1995年,1.3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084668134
鹏裕苑 电梯房 精装两房 配套齐全 有车位 随时看房拎包入住,5000,2室2厅1卫,整租,精装修,浦东新区,北蔡,88平米,南北,公寓,鹏裕苑,莲溪路1099弄                                                    ,2013年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085682360
浦东星河湾一期四房，南面正观泳池及园林，浅色系风格，安静舒适,32000,4室2厅4卫,整租,豪华装修,浦东新区,北蔡,283平米,南北,公寓,星河湾(浦东),锦绣路2580弄                                                    ,2009年,1.4,48%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085755456
大虹桥核心区  紧临地铁及会展中心,7200,3室2厅2卫,整租,精装修,青浦区,徐泾,131平米,南北,普通住宅,海天花园,沪青平公路1481号                                                    ,1995年,0.34,60%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085060858
居家精装 急租房 近百联 地铁13/11号线 看房联系小何,3000,1室1厅1卫,整租,精装修,普陀区,真光,50平米,南,普通住宅,真光新村第七小区,铜川路1781弄                                                    ,1995年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083571679
新出高区三房 精装设计 目前空关 看房方便,18500,3室2厅2卫,整租,豪华装修,长宁区,中山公园,135平米,南北,公寓,城宁花苑,长宁路1318弄                                                    ,2006年,2.4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085984328
北外滩中虹明珠苑，房东诚租，精装两房，紧靠12号线提篮桥站,9000,2室2厅1卫,整租,精装修,虹口区,北外滩,107平米,南,公寓,中虹明珠苑,东余杭路869弄                                                    ,2005年,3.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083039105
圣鑫苑精装修大两房+家具家电全配+大润发旁边,3000,2室2厅1卫,整租,简单装修,浦东新区,周浦,98平米,南北,公寓,圣鑫苑(一期),川周公路4058弄                                                    ,2007年,1.5,41%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082717212
浅色宜家风 1房1厅1卫+阳台 朝南 7号昌平路旁 重磅来袭,4500,1室1厅1卫,整租,精装修,静安区,江宁路,50平米,南,老公房,新丰小区,常德路1057弄                                                    ,2003年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083912233
东方别墅，高端小区，与国际接轨，欢迎来电,35000,6室2厅5卫,整租,精装修,浦东新区,张江,255平米,南北,别墅,东方别墅,金桥路3221弄                                                    ,2002年,0.3,64%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082963540
天山小区，2房1厅1卫2阳台，主南次北，超大阳台和电视机,6000,2室1厅1卫,整租,中等装修,长宁区,天山,70平米,南,公寓,天山小区,天山路938弄                                                    ,1971年,1.2,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084365611
花园式小区 全天保安 小区内自带膜拜 浅色系装修 可观江景！,3300,1室1厅1卫,整租,精装修,黄浦区,世博滨江,40平米,南,普通住宅,耀江花园,西藏南路1739号                                                    ,2006年,2.3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086108550
价格超实惠的两房两厅！顶层复式！临近地铁精装修诚心出租,3600,2室2厅1卫,整租,精装修,宝山区,顾村,73平米,南北,普通住宅,古北菊翔苑(南区),菊联路233弄                                                    ,2007年,1.4,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081642332
7号线锦绣路 锦博苑 朝南主卧带独卫次卧带阳台 民用水电,2030,3室2厅2卫,合租,精装修,浦东新区,北蔡,125平米,南,普通住宅,锦博苑,高科西路2111弄                                                    ,2007年,1.7,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1073461025
金杨新村二街坊 近地铁 精装 急租随时看房 拎包入住,3800,2室1厅1卫,整租,精装修,浦东新区,金杨,40平米,南,普通住宅,金杨新村二街坊,金杨路273弄                                                    ,1995年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086071171
居家合租均可一号线大三房出租家电齐全,5500,3室2厅1卫,整租,精装修,闵行区,梅陇,110平米,南,普通住宅,上海阳城,罗锦路888弄                                                    ,2003年,暂无,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084812393
玉兰小两房 精装全配 拎包入住,6000,2室1厅1卫,整租,精装修,徐汇区,徐家汇,85平米,南,公寓,玉兰花苑,蒲汇塘路50号                                                    ,1992年,2.4,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083796012
整租  鸟语花香城市中喧嚣中取静的绝好房源,2200,1室1厅1卫,整租,精装修,浦东新区,金桥,32平米,南,公寓,金桥都市花园,金桥路1189弄                                                    ,1999年,1.9,43%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084673833
龙湖蔚澜香醍 价格实惠 男女不限 位置 拎包 房源真实有效,3000,2室2厅1卫,整租,精装修,嘉定区,嘉定新城,77平米,南,普通住宅,龙湖蔚澜香醍(公寓),云谷路1388弄                                                    ,2012年,2.3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084587720
房东急租押一付一紧邻6/号 线诚心出租押一付一 随时拎包入住,3900,1室1厅1卫,整租,精装修,浦东新区,金杨,62平米,南,普通住宅,天元公寓,羽山路1980弄                                                    ,1998年,3.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085961178
临地铁8号线+大悦城+曲阜站200米+拎包入住,4500,1室1厅1卫,整租,精装修,静安区,老北站,40平米,南,公寓,中心铂庭,天目中路520号                                                    ,2010年,2.73,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085650798
凌兆新村 前滩位置 配套成熟 采光好 拎包入住靠近6号8号线,3300,1室1厅1卫,整租,精装修,浦东新区,三林,45平米,南,普通住宅,凌兆八村,凌兆路379弄                                                    ,1996年,1.45,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085651962
南郊精装3房，位置安静，楼层采光好，周边住户素质高，拎包入住,5500,3室2厅2卫,整租,精装修,闵行区,颛桥,118平米,南北,公寓,南郊别墅(公寓),中春路3455弄                                                    ,2009年,0.68,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083593267
精装月付 无中介 全装全配 独立卫浴 免费双周保洁 出行方便,2100,3室1厅1卫,整租,精装修,浦东新区,川沙,23平米,南,普通住宅,顺馨佳园,新德西路99弄-1--113号                                                    ,2009年,1.5,43%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084406545
同润加州精装公寓 环境优美 交通便利 旁边家乐福 拎包入住,4600,2室2厅2卫,整租,精装修,松江区,莘闵别墅区,95平米,南,公寓,同润加州(公寓),新南路501弄                                                    ,2006年,1,60%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085261737
君誉江畔，中区1房，精装全配，拎包入住！,8000,1室1厅1卫,整租,精装修,浦东新区,塘桥,56平米,西南,公寓,君誉江畔,浦东南路1969号                                                    ,2005年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082835555
地铁6/12号线 住户素质优 采光好 品质小区 北欧装修,2300,1室1厅1卫,整租,精装修,浦东新区,金桥,48平米,南,普通住宅,伟业金锦苑三村,东波路585弄                                                    ,2003年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084491066
精装修南北两房  靠近地铁 五角场 公园 随时入住 有钥匙,6500,2室2厅1卫,整租,精装修,杨浦区,鞍山,91平米,南北,普通住宅,大运盛城,中山北二路99弄                                                    ,2006年,3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082353754
一个好的标题能吸引您点进来，但一个合适的好房子难求，致电帮您,5300,2室2厅1卫,整租,精装修,闵行区,古美,96平米,南北,普通住宅,平阳绿家园,古美西路631弄                                                    ,2002年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085075124
新挂牌！万源城四房中央空调带地暖，有车位，协和双语靠漕河泾,15000,4室2厅2卫,整租,精装修,闵行区,古美,172平米,南北,公寓,万源城郎郡,万源路986弄                                                    ,2010年,暂无,48%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085165539
"万体馆精装一房,配套齐全,紧邻地铁龙漕路、上班方便,随时看房",4500,2室1厅1卫,整租,精装修,徐汇区,龙华,65平米,南,普通住宅,漕溪四村,田东路66弄                                                    ,1986年,1.9,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083639636
大柏树靓盘，中等装修两房一厅，近，看房方便整租,4500,3室1厅1卫,整租,中等装修,虹口区,江湾镇,80平米,南北,普通住宅,纪念一小区,汶水东路77弄                                                    ,1995年,1.3,26%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084505655
盛世滨江壹号公馆 全屋地暖 豪华装修 现代配置 带车位,12000,1室2厅1卫,整租,豪华装修,黄浦区,世博滨江,98平米,南北,公寓,绿城盛世滨江,中山南一路500弄                                                    ,2012年,4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084809698
博二小区+地铁6号线+可办居住证+目前空置+诚意出租价格可谈,4100,2室1厅1卫,整租,精装修,浦东新区,金桥,64平米,南北,普通住宅,柳博小区,博兴路616弄                                                    ,1997年,1.8,26%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085852694
实地看过：《翠湖雅苑景观大两房》《有钥匙》,25000,2室2厅2卫,整租,精装修,黄浦区,新天地,116平米,南北,公寓,翠湖天地雅苑,济南路168弄                                                    ,2002年,4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1078427572
四季花城百合园 叠加空中复式 适合办公真实照片上下两层,4500,5室3厅3卫,整租,中等装修,奉贤区,南桥,252平米,南,其他,百合苑(公寓),八字桥路158弄                                                    ,2005年,0.99,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085683915
阳光花城，2居环境很给力，价格不高 只租7500元/月,7500,2室2厅1卫,整租,精装修,浦东新区,张江,98平米,南北,普通住宅,阳光花城(公寓),紫薇路667弄                                                    ,2007年,1.59,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085431213
近地铁6号线 精装全配 随时入住 首ci出租 周边配套完善,3300,1室1厅1卫,整租,精装修,浦东新区,金桥,42平米,南,普通住宅,金藤苑,五莲路780弄                                                    ,1994年,2.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084027158
高区景观全明精装大一房 1号线宝华现代城拎包入住,5600,1室2厅1卫,整租,精装修,静安区,大宁,78平米,南,公寓,宝华现代城(一期),共和新路2399弄                                                    ,2008年,2.3,39%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1079878830
0中介 押一付一 设施完善 拎包入住  免费WIFI,2000,3室1厅1卫,合租,精装修,徐汇区,衡山路,21平米,南,普通住宅,东方巴黎霞飞苑,南昌路555号                                                    ,2000年,5.68,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085787805
专为大学生、白领设计+真实图片+地铁旁+定期保洁+随时看房！,2000,1室1厅1卫,合租,精装修,浦东新区,杨思,20平米,南北,公寓,桃李家园,上南路3339弄                                                    ,2005年,1.1,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083494550
真光五街坊 东边套全明户型 临近地铁 近中环百联 红星美凯龙,3000,1室1厅1卫,整租,精装修,普陀区,真光,52平米,南,普通住宅,真光新村第五小区,铜川路2059弄                                                    ,1996年,1.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084411005
品质小区，地铁4/8号线，宜家风格，匠人之作，臻心真品拎包住,7500,1室1厅1卫,整租,精装修,黄浦区,蓬莱公园,2500平米,南,普通住宅,弘辉名苑,西藏南路1501弄1-8号                                                    ,2005年,4.35,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085786477
上海花城，1房2厅1卫，70平米朝南，精装，拎包入住,7500,1室2厅1卫,整租,精装修,长宁区,天山,70平米,南,公寓,上海花城,长宁路1818弄                                                    ,2000年,暂无,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084391577
南北通风双南全明户型采光棒，露天阳台江景房环境优美，素质住户,12000,3室2厅3卫,整租,精装修,虹口区,北外滩,135平米,南北,公寓,新外滩花苑,东大名路888弄                                                    ,2001年,3.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083757083
上青房型好，房东人品好，看房很方便，价格可再谈，你的明智之选,8000,1室1厅1卫,整租,精装修,普陀区,长寿,71平米,南,公寓,上青佳园,常德路1258弄                                                    ,2008年,暂无,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082006646
无中介 精装月付 紧邻地铁 免费保洁,1500,3室1厅1卫,合租,精装修,徐汇区,建国西路,17平米,南,普通住宅,永嘉路231弄小区,永嘉路231弄                                                    ,1986年,暂无,22%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1079556349
7号线浦东星河湾旁一手新房从未入住 看房方便,20000,4室2厅2卫,整租,精装修,浦东新区,北蔡,160平米,南北,公寓,陆家嘴锦绣前城,锦绣路2466弄                                                    ,2016年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085314952
万科二期14区一楼带花园四房出租，可以办公。随时看房,9000,4室2厅2卫,整租,中等装修,闵行区,七宝,140平米,南北,公寓,万科城市花园,七莘路3333弄                                                    ,2011年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084915481
德康雅苑毛坯3房 房东门已经装好 可以随时入住  看房联系,1400,3室1厅1卫,整租,毛坯,青浦区,赵巷,81平米,南,普通住宅,崧泽华城德康雅苑,崧润路49弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082876207
西郊九溪十八岛 占地2亩 花园800平 精装修 全装 全配,21000,6室2厅5卫,整租,豪华装修,青浦区,徐泾,425平米,南,别墅,西郊九溪十八岛,高泾路399弄1-149号                                                    ,2003年,0.27,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085001752
全新装修一室一厅房间全新配置紧邻347号线镇坪路可押一付一,4100,1室1厅1卫,整租,精装修,普陀区,光新,40平米,南,普通住宅,太浜巷小区,岚皋路166弄                                                    ,1986年,暂无,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085577970
2号线世纪公园 绿缘公寓 朝南主卧带独卫次卧带阳台 民用水电,2660,3室2厅2卫,合租,精装修,浦东新区,世纪公园,125平米,南,普通住宅,绿缘公寓,花木路718弄                                                    ,2000年,3,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1074086254
老西门新苑现代豪华装修+全明户型+地铁口+只为遇见懂生活的你,18000,4室2厅2卫,整租,精装修,黄浦区,老西门,192平米,南北,公寓,老西门新苑,西藏南路688弄                                                    ,2006年,3.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082592475
精装修大主卧出租 无附加费 设施完善 入住立减房租 押一付一,2000,2室1厅1卫,整租,精装修,浦东新区,源深,22平米,南,普通住宅,梅园三街坊,商城路991弄                                                    ,1985年,1.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084698403
新都名园 万科品质精装一室户 电梯房 家具家电全配 业主急租,4800,1室1厅1卫,整租,精装修,闵行区,七宝,56平米,南北,普通住宅,新都名园(东区),中春路8889弄56支弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083272946
南京西路站地铁口、自如穿梭！静安四季苑、精心设计只为爱家的你,8500,1室2厅1卫,整租,精装修,静安区,南京西路,97平米,南,普通住宅,静安四季苑,石门一路333弄                                                    ,2007年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085386922
新挂牌出租 精装修 靠近世纪公园站和龙阳地铁站 房东降价急租,6200,2室2厅2卫,整租,精装修,浦东新区,世纪公园,85平米,南北,公寓,海桐小区,海桐路68弄                                                    ,2002年,1.9,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085964886
呼玛五村 家具家电齐全 干净清爽 随时可以入住 精装修2房,2250,2室1厅1卫,整租,精装修,宝山区,通河,59平米,南,普通住宅,呼玛五村,呼玛五村1-85号                                                    ,1998年,1.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085195002
精装修电梯大3房   楼层好  视野开阔  采光通风好,11500,3室2厅2卫,整租,精装修,闵行区,金虹桥,140平米,南北,普通住宅,华光花园,虹梅路3297弄                                                    ,2000年,1.8,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085128528
勉拥！中央空调+地暖。上门实勘，会所带泳池，大花园，中心位置,45000,4室2厅4卫,整租,豪华装修,浦东新区,世纪公园,278平米,南北,普通住宅,四季雅苑(公寓),花木路1983弄                                                    ,2005年,0.41,55%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081750918
苏州河畔苏堤春晓闹钟取静地铁拎包入住随时看,9000,2室2厅1卫,整租,精装修,普陀区,长寿,104平米,南,普通住宅,上海苏堤春晓名苑,长寿路800弄                                                    ,2006年,3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083228087
独卫，独立阳台，面积大，精装修全配，靠近9号线，拎包入住,2000,3室2厅2卫,整租,精装修,松江区,松江大学城,40平米,南,普通住宅,誉品谷水湾(公寓),龙马路185弄                                                    ,2014年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082585105
